도로명주소,위도,경도,구분,이름
창렬로187번길 11,35.2010026382,128.0776428687,1,청월사
의병로 121-1,35.2014115225,128.0719406412,1,백련암
의병로111번길 17,35.2017650681,128.071150175,1,삼선암
진주성로183번길 13-5,35.2042333558,128.0724954804,1,영덕암
의병로65번길 43,35.2013899686,128.0644126836,1,천진암
의병로 128,35.2017202462,128.0724259817,1,약사정사
상봉대룡길 81,35.2068707096,128.0633228165,1,대불사
모덕로30번길 4,35.1814596468,128.1017131449,1,법성사
모덕로 69-2,35.1824107226,128.1054689473,1,송학사
모덕로181번길 7,35.1876928956,128.1134157699,1,법륜사
대신로 311,35.1882536156,128.1166435084,1,월하사
장재새미길53번길 56,35.2029861266,128.0946027397,1,견불사
장재새미길53번길 30,35.2044215413,128.0953791446,1,다례정사
진산로 100-3,35.1978441965,128.0993310782,1,선덕사
진산로 116-14,35.1985894303,128.1003386745,1,수도사
장재새미길53번길 47,35.2033918515,128.0954541519,1,연기암
석갑로141번길 80,35.1803902961,128.0559859051,1,천황사
신안로88번길 9-4,35.1862940204,128.0716631234,1,한국SGI불교회
진주대로1270번길 27,35.1956656525,128.0649937193,1,금천암
이현두곡길59번길 34,35.1920241914,128.0483669653,1,보광사
유곡죽전길 9-5,35.1939827985,128.066492656,1,보림사
유곡죽전길 27-5,35.1954794476,128.0671635435,1,다천사
서장대로185번길 11-8,35.1886674315,128.0560572007,1,문필암
나불로114번길 31-1,35.2078807228,128.0567740797,1,무상사
진양호로111번길 17,35.1688403138,128.050941563,1,관음정사
진양호로143번길 33,35.1712409635,128.0530666835,1,마하사
판문로 70-5,35.173492556,128.0435126492,1,보경사
판문로 64-12,35.1727673529,128.0443505735,1,염불선사
진양호로143번길 15,35.1699411554,128.054117162,1,용화사
동부로 18-13,35.1587522859,128.1101705131,1,호명사
동부로 250-20,35.1626952813,128.1333755562,1,화성사
광도면 홀리1길 265-51,34.8843290808,128.3968239973,1,천왕사
광도면 홀리1길 340-198,34.895538932,128.3946865363,1,정각사
사천읍 수양로 80-83,35.0847217291,128.0939902858,1,달마사
사천읍 토촌길 181-15,35.0970028459,128.1059906761,1,백운암
사천읍 백산길 28-5,35.086130954,128.1115487067,1,관음사
사천읍 옥산로 119,35.0793535758,128.0959877839,1,소림사
사천읍 옥돌길 21-10,35.0828124273,128.0954131187,1,성불사
사천읍 중선3길 36,35.0896303076,128.0875359038,1,수양사
사천읍 두량로 474-102,35.1034782737,128.1317076117,1,사리암
용현면 덕석골길 122,35.0430835912,128.0747163219,1,정수사
용현면 안점봉수대길 246,35.041391942,128.0776478846,1,약수암
용현면 신복길 323,35.0351396608,128.0810806778,1,보국사
용현면 관동길 47-29,35.0348825593,128.0743174399,1,성도암
용현면 용치로 21-7,35.0126553973,128.063884103,1,육구암
용현면 용너미길 60-41,35.0055612142,128.1028426655,1,선덕사
용현면 용너미길 1-27,35.0091595484,128.1056885029,1,용운사
용현면 금구길 46-38,35.0076699279,128.0684548037,1,약사암
용현면 용치로 367-18,35.0114166421,128.1002837048,1,법룡암
용현면 청골길 34-38,35.0471887653,128.0581566494,1,용주암
용현면 용너미길 1-22,35.0093360575,128.1051112565,1,부용사
용현면 관동길 73,35.0334423811,128.0740168574,1,용수암
용현면 용치로 367-14,35.0103459357,128.1006639641,1,용남선원
용현면 용치마을길 25-16,35.0098523066,128.0855297726,1,호연암
축동면 물통골길 196,35.0993410137,128.0565254484,1,법륜사
축동면 양동2길 49,35.1030915548,128.1039150854,1,천재암
축동면 예동3길 37-83,35.1100660531,128.0736031092,1,성불사
축동면 서삼로 1143-24,35.0963898696,128.0448418651,1,무량사
축동면 양동1길 23-7,35.1056861249,128.1021357863,1,설봉사
곤양면 만점안길 217,35.0870912802,127.9061746558,1,보안암
곤양면 상정마을길 132-63,35.0745072714,127.9587787053,1,기도사
곤명면 봉명로 31,35.071782432,127.9500323673,1,관음사
곤명면 신산길 82,35.0841642059,127.9370317784,1,보경사
곤명면 용산마을길 467-24,35.0911683627,127.9180127296,1,다선암
곤명면 양월길 228,35.1404581176,127.9453982379,1,대흥사
곤명면 봉명로 359-8,35.0974055071,127.9365572773,1,금천사
곤명면 평촌길 122-131,35.0803052965,127.9528492747,1,선불사
곤명면 원전길 83,35.1152690618,127.9324441753,1,여적암
곤명면 경서대로 2821-46,35.1100356228,127.9232567583,1,신해사
곤명면 막골길 207-51,35.1220633719,127.9225701412,1,염불암
곤명면 고성산동학로 411-105,35.1465458899,127.9160188073,1,장석암
곤명면 송림길 176-22,35.1228646136,127.9460293988,1,선광정사
곤명면 곤명1로 301-62,35.1200277986,127.958418307,1,수월암
곤명면 곤수로 149-32,35.133846434,127.9615669393,1,용화사
곤명면 완사3길 47-8,35.1298774551,127.9745669525,1,용호사
곤명면 연평길 193,35.1474700962,127.9934462006,1,도림사
